eval,foo,bar
0.07566573995,0.266810646,0.3883643216
0.6849117774,0.5172095899,0.864300193
0.8594178851,0.8095168914,0.883830968
0.19294153,0.5679931138,0.52245359
0.7442934564,0.1872418168,0.6803227962
0.4033697827,0.9777982106,0.3616689101
0.6431967883,0.6989091956,0.161804482
0.2894981503,0.7485502009,0.8878148722
0.01020101332,0.2674551372,0.8438160175
0.7080277007,0.02848532191,0.3057111432
0.1071399161,0.04168467292,0.4715522538
0.5720458581,0.1786255052,0.6213041435
0.7648892141,0.8144999927,0.967098609
0.9940782334,0.7814202966,0.0885981405
0.1364494584,0.5610754512,0.7539371732
0.3232299187,0.6164316148,0.7942892951
0.146999896,0.8735354354,0.4798676268
0.9268512379,0.512385674,0.2296487475
0.1815306907,0.5103599703,0.2086096526
